,detid,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry,lon,lat
338,4141022,,,,,null,lane2,11.625928 48.129333,11.625928,48.129333
339,4144011,,,,,Doppelschleife,lane1,11.555825 48.140724,11.555825,48.140724
340,4144012,,,,,Doppelschleife,lane2,11.55589 48.14074,11.55589,48.14074
341,4144021,,,,,Doppelschleife,lane1,11.556093 48.14073,11.556093,48.14073
342,4144022,,,,,Doppelschleife,lane2,11.556019 48.140747,11.556019,48.140747
343,4146011,,,,,Doppelschleife,lane1,11.633105 48.1353,11.633105,48.1353
344,4146021,,,,,Doppelschleife,lane1,11.633224 48.1353,11.633224,48.1353
345,4147011,,,,,Doppelschleife,lane1,11.565857 48.112797,11.565857,48.112797
346,4147012,,,,,Doppelschleife,lane2,11.565857 48.11284,11.565857,48.11284
347,4147013,,,,,Doppelschleife,lane3,11.56591 48.112885,11.56591,48.112885
348,4147014,,,,,Doppelschleife,lane4,11.5659 48.112934,11.5659,48.112934
349,4147021,,,,,Doppelschleife,lane1,11.564548 48.113148,11.564548,48.113148
350,4147022,,,,,Doppelschleife,lane2,11.564516 48.113106,11.564516,48.113106
351,4147023,,,,,Doppelschleife,lane3,11.564527 48.113075,11.564527,48.113075
352,4148011,,,,,Doppelschleife,lane1,11.615274 48.135666,11.615274,48.135666
353,4148021,,,,,Doppelschleife,lane1,11.615392 48.13584,11.615392,48.13584
354,4149011,,,,,null,lane1,11.554345 48.12271,11.554345,48.12271
355,4149021,,,,,null,lane1,11.554495 48.122738,11.554495,48.122738
356,4149022,,,,,null,lane2,11.554452 48.122738,11.554452,48.122738
357,4150011,,,,,Doppelschleife,lane1,11.594792 48.174614,11.594792,48.174614
358,4150012,,,,,Doppelschleife,lane2,11.594835 48.174656,11.594835,48.174656
359,4150021,,,,,Doppelschleife,lane1,11.595072 48.17486,11.595072,48.17486
360,4150022,,,,,Doppelschleife,lane2,11.594986 48.17481,11.594986,48.17481
361,4150023,,,,,Doppelschleife,lane3,11.594933 48.17476,11.594933,48.17476
362,4150024,,,,,Doppelschleife,lane4,11.5949 48.174736,11.5949,48.174736
363,4150025,,,,,Doppelschleife,lane5,11.594868 48.17471,11.594868,48.17471
364,4151011,,,,,Doppelschleife,lane1,11.484136 48.163967,11.484136,48.163967
365,4151012,,,,,,,11.484125 48.164017,11.484125,48.164017
366,4151021,,,,,Doppelschleife,lane1,11.484146 48.16408,11.484146,48.16408
367,4151022,,,,,Doppelschleife,lane2,11.484125 48.164066,11.484125,48.164066
368,4152011,,,,,Doppelschleife,lane1,11.470135 48.17744,11.470135,48.17744
369,4152012,,,,,Doppelschleife,lane2,11.470113 48.177505,11.470113,48.177505
370,4152021,,,,,Doppelschleife,lane1,11.470091 48.177647,11.470091,48.177647
371,4152022,,,,,Doppelschleife,lane2,11.47007 48.177597,11.47007,48.177597
372,4153011,,,,,Doppelschleife,lane1,11.456294 48.151894,11.456294,48.151894
373,4153012,,,,,Doppelschleife,lane2,11.456326 48.151886,11.456326,48.151886
374,4153013,,,,,Doppelschleife,lane3,11.456369 48.15188,11.456369,48.15188
375,4153014,,,,,Doppelschleife,lane4,11.456444 48.151894,11.456444,48.151894
